ACADEMIC_YEAR,CURRENT_APPLICATION_NUMBER,CURRENT_INSTITUTE_NAME,CURRENT_INSTITUTE_ADDRESS,PROGRAMME,LEVEL_CATEGORY,INSTI_REGION,INSTI_STATE,INSTITUTE_DISTRICT,INSTI_CITY,INST_TYPE,WOMEN_INST_FLAG,MINORITY_FLAG,sno
2016-2017,1-2813896831,H.L.AGRAWAL COLLEGE OF ENGINEERING,"PLOT NO. 213/3, SANKHEDA NAKA, OLD ITARSI, ITARSI.",ENGINEERING AND TECHNOLOGY,UG,Central,Madhya Pradesh,HOSHANGABAD,ITARSI,Unaided - Private,N,N,579
2016-2017,1-2813896831,H.L.AGRAWAL COLLEGE OF ENGINEERING,"PLOT NO. 213/3, SANKHEDA NAKA, OLD ITARSI, ITARSI.",ENGINEERING AND TECHNOLOGY,UG,Central,Madhya Pradesh,HOSHANGABAD,ITARSI,Unaided - Private,N,N,580
2016-2017,1-2813313676,S.V.PG COLLEGE,"2/380, BALAJI NAGAR
RAVINDRA NAGAR
KADAPA",MANAGEMENT,PG,South-Central,Andhra Pradesh,YSR DISTRICT,KADAPA,Unaided - Private,N,N,581
2016-2017,1-2813313676,S.V.PG COLLEGE,"2/380, BALAJI NAGAR
RAVINDRA NAGAR
KADAPA",MCA,PG,South-Central,Andhra Pradesh,YSR DISTRICT,KADAPA,Unaided - Private,N,N,582
2016-2017,1-2872816274,AL-MADINA COLLEGE OF COMPUTER SCIENCE,"SALEM NAGAR 
NARSAPOOR (HAMLET)
DHARMAPOOR (VILLAGE)&POST
MAHABOOBNAGAR DISTRICT
ANDHRA PRADESH  STATE",MCA,PG,South-Central,Telangana,MAHABUBNAGAR,MAHABOOBNAGAR,Unaided - Private,N,Y,583
2016-2017,1-2879670357,INSTITUTE OF MANAGEMENT SCIENCE,"SHEPA CAMPUS, NIBIA, BACHCHAON, VARANASI-221011",MANAGEMENT,PG,Northern,Uttar Pradesh,VARANASI,VARANASI,Unaided - Private,N,N,584
2016-2017,1-2883825201,GREATER NOIDA GIRLS SCHOOL OF BUSINESS MANAGEMENT,"PLOT NO. 6-C, KNOWLEDGE PARK - II",MANAGEMENT,PG,Northern,Uttar Pradesh,GAUTHAM BUDDHA NAGAR,GREATER NOIDA,Unaided - Private,Y,N,585
2016-2017,1-2892418831,PES INSTITUTE OF HOTEL MANAGEMENT,"100 FEET RING ROAD, BSK III STAGE, HOSAKEREHALLI, BANGALORE - 560085.",HOTEL MANAGEMENT AND CATERING,UG,South-West,Karnataka,BANGALORE URBAN,BANGALORE,Unaided - Private,N,N,586
2016-2017,1-2864401585,"VIDYASTHALI INSTITUTE OF TECHNOLOGY, SCIENCE AND MANAGEMENT, JAIPUR","PRITHVIRAJ NAGAR, MAHARANI FARM, DURGAPURA, JAIPUR-302018",PHARMACY,UG,North-West,Rajasthan,JAIPUR,JAIPUR,Unaided - Private,N,N,587
2016-2017,1-2864401585,"VIDYASTHALI INSTITUTE OF TECHNOLOGY, SCIENCE AND MANAGEMENT, JAIPUR","PRITHVIRAJ NAGAR, MAHARANI FARM, DURGAPURA, JAIPUR-302018",PHARMACY,PG,North-West,Rajasthan,JAIPUR,JAIPUR,Unaided - Private,N,N,588
