state_code,state_name,level,dist_code,name_of_city,population_total,population_male,population_female,0-6_population_total,0-6_population_male,0-6_population_female,literates_total,literates_male,literates_female,sex_ratio,child_sex_ratio,effective_literacy_rate_total,effective_literacy_rate_male,effective_literacy_rate_female
09,UTTAR PRADESH,71,60,Azamgarh (NPP),"110,980","58,033","52,947","12,629","6,790","5,839","85,008","46,587","38,421",912,860,86.43,90.91,81.56
09,UTTAR PRADESH,7,61,Maunath Bhanjan (NPP),"279,060","143,273","135,787","40,651","20,820","19,831","187,382","102,802","84,580",948,952,78.60,83.95,72.94
09,UTTAR PRADESH,71,62,Ballia (NPP),"104,271","55,706","48,565","10,798","5,780","5,018","80,964","45,467","35,497",872,868,86.62,91.07,81.51
09,UTTAR PRADESH,7,63,Jaunpur (NPP),"168,128","88,704","79,424","18,033","9,449","8,584","123,245","68,005","55,240",895,908,82.11,85.81,77.98
09,UTTAR PRADESH,71,64,Ghazipur (NPP),"110,698","58,126","52,572","12,689","6,773","5,916","83,755","46,530","37,225",904,873,85.46,90.61,79.79
09,UTTAR PRADESH,71,65,Mughalsarai (NPP),"110,110","57,925","52,185","13,997","7,377","6,620","79,611","45,305","34,306",901,897,82.83,89.63,75.29
09,UTTAR PRADESH,71,66,Varanasi (M Corp.),"1,201,815","636,860","564,955","129,180","68,761","60,419","859,379","477,807","381,572",887,879,80.12,84.11,75.63
09,UTTAR PRADESH,71,68,Mirzapur-cum-Vindhyachal (NPP),"233,691","125,003","108,688","27,774","14,779","12,995","161,128","92,423","68,705",869,879,78.25,83.85,71.80
09,UTTAR PRADESH,71,70,Etah (NPP),"118,632","62,966","55,666","14,164","7,653","6,511","90,289","50,001","40,288",884,851,86.43,90.40,81.96
09,UTTAR PRADESH,7,71,Kasganj (NPP),"101,241","53,507","47,734","13,043","7,139","5,904","69,289","38,933","30,356",892,827,78.56,83.97,72.57
10,BIHAR,71,01,Bettiah (NP),"132,896","70,381","62,515","18,203","9,685","8,518","94,663","52,547","42,116",888,880,82.54,86.57,78.00
10,BIHAR,7,01,Bagaha (NP),"113,012","59,946","53,066","19,070","9,802","9,268","56,998","34,751","22,247",885,946,60.67,69.30,50.79
10,BIHAR,7,02,Motihari (NP),"125,183","67,438","57,745","16,325","8,891","7,434","94,926","52,904","42,022",856,836,87.20,90.36,83.52
10,BIHAR,7,08,Kishanganj (NP),"107,076","55,688","51,388","17,017","8,743","8,274","67,286","37,482","29,804",923,946,74.71,79.84,69.13
10,BIHAR,71,09,Purnia (M Corp.),"280,547","148,021","132,526","41,046","21,081","19,965","178,381","100,735","77,646",895,947,74.48,79.36,68.98
10,BIHAR,71,10,Katihar (M Corp.),"225,982","119,142","106,840","31,036","16,054","14,982","155,706","87,581","68,125",897,933,79.87,84.96,74.16
10,BIHAR,7,12,Saharsa (NP),"155,175","82,589","72,586","24,582","12,814","11,768","101,425","58,689","42,736",879,918,77.66,84.11,70.27
10,BIHAR,71,13,Darbhanga (M Corp.),"294,116","154,970","139,146","40,392","21,202","19,190","205,203","115,620","89,583",898,905,80.88,86.43,74.68
10,BIHAR,71,14,Muzaffarpur (M Corp.),"351,838","186,145","165,693","42,276","22,287","19,989","263,638","145,548","118,090",890,897,85.16,88.83,81.05
10,BIHAR,7,16,Siwan (NP),"134,458","70,670","63,788","17,632","9,440","8,192","98,898","56,152","42,746",903,868,84.65,91.71,76.89
10,BIHAR,71,17,Chapra (NP),"201,597","106,250","95,347","27,668","14,516","13,152","141,403","78,956","62,447",897,906,81.30,86.07,75.97
10,BIHAR,7,18,Hajipur (NP),"147,126","78,561","68,565","20,090","10,694","9,396","100,691","57,537","43,154",873,879,79.26,84.78,72.93
10,BIHAR,7,20,Begusarai (M Corp.),"251,136","133,931","117,205","37,966","20,012","17,954","169,161","96,459","72,702",875,897,79.35,84.67,73.25
